division,school,nickname,logo
D2,Southern Arkansas,Muleriders,https://upload.wikimedia.org/wikipedia/en/thumb/5/56/Southern_Arkansas_Muleriders_logo.svg/150px-Southern_Arkansas_Muleriders_logo.svg.png
D2,Southern Nazarene,Crimson Storm,https://pbs.twimg.com/profile_images/1073598231815315456/kNR70QuU_400x400.jpg
D2,Ashland,Eagles,https://i.turner.ncaa.com/sites/default/files/images/logos/schools/bgd/ashland.svg
D2,Davenport,Panthers,https://footballpedia.s3.amazonaws.com/logo/Division+2/Davenport_Panthers.png
D2,Ferris State,Bulldogs,https://footballpedia.s3.amazonaws.com/logo/Division+2/Ferris_State_Bulldogs.png
D2,Grand Valley State,Lakers,https://footballpedia.s3.amazonaws.com/logo/Division+2/Grand_Valley_State_Lakers.png
D2,Michigan Tech,Huskies,https://upload.wikimedia.org/wikipedia/en/thumb/d/d6/Michigan_Tech_Athletics_logo.svg/1200px-Michigan_Tech_Athletics_logo.svg.png
D2,Northern Michigan,Wildcats,https://footballpedia.s3.amazonaws.com/logo/Division+2/Northern_Michigan_Wildcats.png
D2,Northwood (MI),Timberwolves,https://pbs.twimg.com/profile_images/916860309113098240/3o3LK4Au_400x400.jpg
D2,Saginaw Valley,Cardinals,https://pbs.twimg.com/profile_images/179173852/cardinal_400x400.gif
D2,Wayne State,Warriors,https://footballpedia.s3.amazonaws.com/logo/Division+2/Wayne_State_Warriors.png
D2,Indianapolis,Greyhounds,https://i.turner.ncaa.com/sites/default/files/images/logos/schools/bgd/indianapolis.svg
